code;location;registered;envelopes;valid;Občanská demokratická strana;Řád národa - Vlastenecká unie;CESTA ODPOVĚDNÉ SPOLEČNOSTI;Česká str.sociálně demokrat.;Radostné Česko;STAROSTOVÉ A NEZÁVISLÍ;Komunistická str.Čech a Moravy;Strana zelených;ROZUMNÍ-stop migraci,diktát.EU;Strana svobodných občanů;Blok proti islam.-Obran.domova;Občanská demokratická aliance;Česká pirátská strana;OBČANÉ 2011-SPRAVEDL. PRO LIDI;Referendum o Evropské unii;TOP 09;ANO 2011;SPR-Republ.str.Čsl. M.Sládka;Křesť.demokr.unie-Čs.str.lid.;Česká strana národně sociální;REALISTÉ;SPORTOVCI;Dělnic.str.sociální spravedl.;Svob.a př.dem.-T.Okamura (SPD);Strana Práv Občanů
566942;Raková;193;129;129;11;0;0;19;1;5;11;1;2;6;0;0;9;0;0;3;45;0;3;0;1;0;0;11;1
559717;Rokycany;10876;6227;6174;865;9;2;434;7;205;544;72;52;93;5;16;655;4;9;254;1990;13;158;1;54;7;7;687;31
560146;Sebečice;74;54;54;6;0;0;3;0;3;9;3;0;0;0;0;1;0;0;3;19;2;3;0;0;0;0;2;0
546488;Sirá;108;76;76;18;0;0;3;0;6;16;2;1;0;0;0;5;0;0;2;9;0;2;0;1;0;0;11;0
566845;Skomelno;172;127;127;10;0;1;12;0;9;18;2;1;0;0;1;9;0;0;1;42;0;2;0;4;0;0;15;0
506664;Skořice;227;142;141;6;0;0;3;0;3;25;2;3;3;0;0;5;0;0;2;72;0;0;0;0;0;0;16;1
540722;Smědčice;209;159;159;30;0;0;11;0;12;2;3;1;6;1;0;22;0;0;7;40;0;8;0;1;0;0;15;0
560162;Strašice;1921;1069;1058;125;5;0;100;0;32;129;8;10;15;1;1;137;2;1;35;302;1;16;0;6;4;7;117;4
541176;Svojkovice;342;227;227;45;0;0;18;0;10;14;4;1;7;0;0;22;0;0;11;65;2;0;0;2;2;2;21;1
579343;Štítov;50;40;40;3;1;0;2;0;0;6;0;0;0;0;0;4;0;0;0;8;0;0;0;0;1;1;13;1
560189;Těně;238;162;159;8;0;0;10;0;5;13;0;3;1;0;0;18;0;0;8;51;0;13;0;3;0;0;26;0
566802;Terešov;137;79;79;8;0;0;4;1;6;3;0;1;2;0;0;10;0;0;6;27;1;2;0;2;0;0;6;0
546526;Těškov;255;164;161;22;0;0;13;0;7;27;4;1;2;0;0;10;0;0;4;44;0;4;1;1;1;0;16;4
579246;Trokavec;95;64;63;10;1;0;3;0;1;6;1;0;1;0;0;10;0;0;0;25;0;0;0;1;0;0;3;1
546534;Týček;167;129;129;4;0;0;12;0;16;17;1;1;0;0;0;3;0;0;3;54;0;0;0;1;1;0;16;0
546551;Újezd u Svatého Kříže;206;120;120;11;0;0;4;0;4;14;4;3;1;1;1;8;0;0;9;42;0;2;0;0;1;0;15;0
560227;Vejvanov;194;112;112;13;0;0;12;0;8;14;1;2;4;0;0;15;0;0;4;26;0;1;0;0;0;0;12;0
560235;Veselá;211;130;129;25;1;0;5;0;2;15;0;3;1;0;1;12;0;1;2;39;0;1;0;0;3;0;17;1
579289;Vísky;38;21;21;1;0;0;4;0;0;1;0;0;0;0;0;1;0;0;0;6;0;1;0;0;0;0;7;0
560251;Volduchy;915;666;648;94;4;0;80;3;16;62;7;7;12;2;1;84;0;0;17;178;2;10;0;7;0;0;60;2
566799;Všenice;219;179;179;13;0;0;16;2;11;22;2;3;5;0;0;18;1;0;6;54;0;5;0;4;1;0;16;0
560260;Zbiroh;2040;1190;1174;123;10;0;105;2;78;128;14;12;11;1;10;103;0;1;52;360;7;26;0;3;2;7;117;2
541061;Zvíkovec;174;78;76;5;0;0;0;0;8;9;3;3;1;0;1;6;0;0;5;21;0;2;0;1;1;0;9;1
